Sample ID	shannon
#q2:types	numeric
E026	3.60999214347372
E027	3.33342700909395
E028	3.78498026886984
E029	2.72062012338386
E030	3.32019628381913
E031	2.54189440250235
E032	2.7877279831691
E033	2.60089272977705
E034	3.96127429103928
E035	3.11959261574846
E036	4.27554020234787
E037	2.77172395625179
E038	2.80658406361071
E039	3.10277439309551
E040	2.81665326130147
E041	2.29213306374681
E042	2.57250878820226
E043	3.61596867437962
E044	3.9124162584113
E045	3.04823793675685
E046	3.667130220612
E047	3.71638517241622
E048	4.2920580916585
E049	3.01331473459712
E050	2.64705039684481
E051	3.12549204115377
E052	3.07945011675412
E053	3.36555876431464
E054	3.4741198031417
E055	3.56671208276764
E056	3.53938348244446
E057	3.58590497392786
E058	2.49085375825334
E059	2.54839174981654
E060	1.34465792097019
E061	3.47543206831995
